Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Quality
8.67,8.83,8.67,8.75,8.5,8.42,90.58
8.75,8.67,8.5,8.58,8.42,8.42,89.92
8.42,8.5,8.42,8.42,8.33,8.42,89.75
8.17,8.58,8.42,8.42,8.5,8.25,89.0
8.25,8.5,8.25,8.5,8.42,8.33,88.83
8.58,8.42,8.42,8.5,8.25,8.33,88.83
8.42,8.5,8.33,8.5,8.25,8.25,88.75
8.25,8.33,8.5,8.42,8.33,8.5,88.67
8.67,8.67,8.58,8.42,8.33,8.42,88.42
8.08,8.58,8.5,8.5,7.67,8.42,88.25
8.17,8.67,8.25,8.5,7.75,8.17,88.08
8.25,8.42,8.17,8.33,8.08,8.17,87.92
8.08,8.67,8.33,8.42,8.0,8.08,87.92
8.33,8.42,8.08,8.25,8.25,8.0,87.92
8.25,8.33,8.5,8.25,8.58,8.75,87.83
8.0,8.5,8.58,8.17,8.17,8.0,87.58
8.33,8.25,7.83,7.75,8.5,8.42,87.42
8.17,8.33,8.25,8.33,8.42,8.33,87.33
8.42,8.25,8.08,8.17,7.92,8.0,87.25
8.17,8.17,8.0,8.17,8.08,8.33,87.25
8.0,8.25,8.08,8.5,8.25,8.0,87.25
8.08,8.25,8.0,8.17,8.0,8.33,87.17
8.17,8.25,8.17,8.0,7.83,8.17,87.17
8.25,8.33,8.17,8.17,7.83,8.17,87.08
8.42,8.17,7.92,8.17,8.33,8.0,87.08
8.5,8.5,8.0,8.0,8.0,8.0,86.92
7.83,8.25,8.08,8.17,8.17,8.17,86.92
8.42,8.17,8.17,8.17,7.83,7.92,86.83
8.17,8.08,8.08,8.0,8.08,8.0,86.67
8.0,8.0,8.0,8.25,8.0,8.17,86.58
7.92,8.25,8.0,8.33,8.0,8.08,86.58
8.42,8.17,8.17,8.0,7.58,8.0,86.5
8.5,8.17,8.0,7.75,8.0,8.0,86.42
8.17,7.83,8.0,8.08,7.83,8.0,86.33
8.0,8.08,7.92,8.0,8.08,8.08,86.25
8.08,8.0,8.0,8.25,7.92,7.92,86.25
8.08,8.17,8.0,7.92,7.92,7.83,86.25
8.25,8.42,8.08,7.75,7.67,7.83,86.25
7.92,7.75,8.08,8.08,8.08,8.17,86.25
7.67,8.17,8.0,8.0,8.17,8.08,86.17
7.83,8.33,7.83,8.25,7.58,7.92,86.17
8.17,7.92,7.92,7.75,8.33,8.0,86.17
8.42,7.92,8.0,7.75,7.92,8.0,86.17
8.08,8.17,7.75,8.08,7.75,7.83,86.08
8.08,8.08,8.0,8.0,7.83,8.08,86.08
8.33,8.0,8.0,8.0,7.75,8.0,86.08
8.08,8.08,7.83,7.92,8.08,7.92,86.0
7.75,7.92,7.83,8.08,8.08,8.17,86.0
7.92,8.17,7.83,8.5,7.5,7.92,86.0
8.25,8.0,7.83,8.08,8.0,7.92,86.0
7.75,8.08,8.0,8.25,8.0,8.0,86.0
8.33,8.17,7.75,8.0,7.75,7.83,86.0
7.92,8.08,7.92,8.08,8.08,7.83,85.92
8.17,8.17,7.92,8.08,7.83,7.75,85.92
8.0,8.0,8.0,8.17,7.83,8.0,85.92
8.0,8.0,7.92,8.08,7.83,8.0,85.83
7.83,8.08,7.92,8.08,8.0,7.92,85.83
7.83,8.0,8.0,8.17,7.83,8.0,85.83
8.0,8.0,7.83,8.33,7.83,7.83,85.83
7.83,8.0,7.83,8.17,7.92,8.0,85.75
8.0,8.0,8.0,8.08,7.92,7.75,85.75
8.33,8.42,7.83,8.33,8.0,8.25,85.75
7.92,8.17,8.0,7.92,7.75,7.83,85.58
7.83,8.0,8.0,7.75,7.92,8.17,85.58
7.83,8.0,7.92,7.75,8.08,8.0,85.58
8.0,7.75,7.83,7.83,7.67,8.58,85.5
7.92,7.92,7.83,8.08,7.83,7.92,85.5
7.83,8.0,7.83,7.92,7.83,8.08,85.5
8.33,7.92,7.67,7.92,7.67,7.92,85.5
8.0,7.83,7.67,8.33,7.83,8.0,85.5
7.75,7.83,7.83,8.17,7.92,7.83,85.42
8.08,8.0,7.83,7.67,8.0,7.83,85.42
7.92,7.92,7.75,7.92,7.75,7.92,85.42
8.0,8.0,8.0,7.67,7.75,8.0,85.42
8.08,7.83,7.83,8.08,7.83,7.83,85.42
8.0,8.0,8.0,7.83,7.83,7.75,85.33
7.83,7.75,7.83,7.67,7.83,8.58,85.33
7.92,8.08,8.0,7.92,8.0,8.08,85.33
8.0,7.58,7.58,7.67,8.08,8.5,85.33
7.83,8.08,7.75,8.08,7.92,7.75,85.33
8.0,7.92,7.92,8.08,7.83,7.75,85.33
7.83,7.83,7.92,8.08,7.75,7.83,85.33
7.92,7.83,7.75,8.33,7.75,7.75,85.33
8.0,7.92,7.75,8.0,7.92,7.83,85.25
8.17,7.92,7.83,8.0,7.58,7.83,85.25
7.58,8.08,7.92,7.83,8.0,7.92,85.25
7.75,7.83,7.67,8.0,8.08,7.83,85.17
8.25,8.0,7.67,7.92,7.75,7.67,85.17
7.75,8.0,7.58,8.0,8.0,7.92,85.08
8.17,7.83,7.58,8.08,8.0,7.75,85.08
8.42,8.0,7.42,8.0,7.92,7.92,85.08
7.58,7.83,7.83,7.92,7.83,8.17,85.08
7.83,8.0,7.75,7.75,7.83,7.83,85.08
8.08,8.17,7.92,8.0,8.08,8.0,85.08
7.67,8.0,7.83,8.0,7.92,7.83,85.08
7.5,7.92,8.25,7.83,7.92,7.75,85.08
8.17,7.92,7.75,7.75,7.67,7.75,85.0
8.0,7.92,7.75,7.92,7.75,7.83,85.0
7.83,8.0,7.58,7.92,7.92,7.83,85.0
7.83,8.0,7.83,7.75,7.67,7.83,85.0
8.17,7.83,7.92,7.75,7.67,7.83,85.0
7.75,7.83,7.75,8.08,8.0,7.75,85.0
8.0,8.0,7.83,7.83,7.67,7.67,85.0
7.92,8.17,7.75,8.08,7.42,7.83,85.0
7.75,7.92,7.75,7.75,8.0,8.0,85.0
7.83,8.08,7.67,8.0,7.75,7.67,85.0
7.92,7.92,7.67,7.83,7.92,7.83,84.92
7.92,7.83,7.75,7.83,7.75,8.0,84.92
7.67,7.83,8.0,7.58,8.0,7.92,84.92
8.0,7.83,7.83,7.92,7.75,7.75,84.92
7.75,7.92,7.83,7.75,7.75,8.0,84.92
7.75,8.0,7.75,7.83,7.5,7.92,84.92
8.0,7.92,7.75,7.75,8.0,7.75,84.92
8.0,8.0,7.75,8.0,7.5,7.75,84.92
8.0,7.67,7.83,8.17,7.92,7.75,84.92
7.92,7.58,7.83,7.83,7.83,7.83,84.83
7.75,7.92,7.67,7.67,8.25,7.75,84.83
7.67,7.75,7.75,7.75,7.83,8.0,84.83
